x_m,y_m,samples,dwell_s
6.910000000000002,2.0673279410510927,3,0.299732
7.010000000000002,2.1673279410510924,2,0.199648
9.31,2.1673279410510924,1,0.099836
9.41,2.1673279410510924,4,0.400495
9.510000000000002,2.1673279410510924,5,0.499799
9.61,2.1673279410510924,22,2.199802
7.010000000000002,2.267327941051092,1,0.100686
7.110000000000001,2.267327941051092,2,0.19944
9.11,2.267327941051092,1,0.100177
9.21,2.267327941051092,47,4.699846
9.31,2.267327941051092,1,0.100162
9.61,2.267327941051092,1,0.100286
9.71,2.267327941051092,2,0.199857
7.110000000000001,2.3673279410510926,1,0.099873
7.210000000000001,2.3673279410510926,2,0.200201
9.010000000000002,2.3673279410510926,1,0.09986
9.11,2.3673279410510926,4,0.399903
9.810000000000002,2.3673279410510926,3,0.299885
9.91,2.3673279410510926,2,0.200056
7.210000000000001,2.467327941051092,2,0.200173
7.310000000000001,2.467327941051092,1,0.100245
8.91,2.467327941051092,1,0.100427
9.010000000000002,2.467327941051092,3,0.30005
9.91,2.467327941051092,1,0.099994
10.010000000000002,2.467327941051092,2,0.199731
10.11,2.467327941051092,1,0.100007
7.310000000000001,2.567327941051092,2,0.19982
8.81,2.567327941051092,2,0.200133
8.91,2.567327941051092,3,0.299309
10.11,2.567327941051092,2,0.200295
10.21,2.567327941051092,2,0.199939
7.410000000000002,2.6673279410510924,3,0.300084
8.71,2.6673279410510924,2,0.199831
8.81,2.6673279410510924,3,0.299978
10.21,2.6673279410510924,2,0.199918
10.310000000000002,2.6673279410510924,1,0.100296
7.410000000000002,2.767327941051092,1,0.10016
7.510000000000002,2.767327941051092,2,0.199704
8.510000000000002,2.767327941051092,2,0.199785
8.61,2.767327941051092,3,0.299531
8.71,2.767327941051092,2,0.200721
10.310000000000002,2.767327941051092,3,0.299649
7.510000000000002,2.8673279410510926,2,0.19999
7.610000000000001,2.8673279410510926,2,0.199724
8.41,2.8673279410510926,3,0.300027
8.510000000000002,2.8673279410510926,3,0.300146
10.41,2.8673279410510926,3,0.300396
7.610000000000001,2.967327941051092,2,0.200701
7.710000000000001,2.967327941051092,3,0.299697
8.31,2.967327941051092,3,0.300588
8.41,2.967327941051092,2,0.199925
10.41,2.967327941051092,2,0.199915
10.510000000000002,2.967327941051092,1,0.099941
7.710000000000001,3.067327941051092,3,0.300093
7.810000000000001,3.067327941051092,1,0.099628
8.11,3.067327941051092,2,0.199644
8.21,3.067327941051092,3,0.300268
8.31,3.067327941051092,1,0.099643
10.510000000000002,3.067327941051092,3,0.300041
7.810000000000001,3.1673279410510924,192,19.200073
7.910000000000002,3.1673279410510924,5,0.499991
8.010000000000002,3.1673279410510924,2,0.199865
8.11,3.1673279410510924,3,0.300183
10.510000000000002,3.1673279410510924,1,0.099456
10.61,3.1673279410510924,3,0.300386
7.910000000000002,3.267327941051092,407,40.700016
8.010000000000002,3.267327941051092,1,0.100097
10.61,3.267327941051092,2,0.20061
10.71,3.267327941051092,47,4.699775
6.910000000000002,4.367327941051092,194,36.499708
