data,stamp
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.2878795
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.3376644
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.3874867
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.4377618
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.4875863
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.5376823
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.5875306
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.6374443
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.687614
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.7375758
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.787453
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.8378837
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.8876414
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.937927
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087728.9877307
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.0376139
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.0875573
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.1374667
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.18756
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.2373703
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.287731
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.3375053
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.3876038
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.4378533
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.4874568
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.537507
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.587584
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.6374993
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.6876361
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.7375486
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.7877028
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.837652
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.887723
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.9376233
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087729.9873996
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.037609
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.0873735
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.1376526
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.1873107
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.2376335
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.2873182
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.3376007
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.3875628
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.4373913
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.487604
"{""source"": null, ""blocked_by"": ""no_source"", ""estop_latched"": false, ""override_active"": false, ""gates"": {""estop_latched"": false, ""arm_stowed"": true, ""enable"": false, ""override"": false}, ""source_ages"": {}, ""twist"": {""vx"": 0.0, ""vy"": 0.0, ""wz"": 0.0}}",1789087730.5375671
